"","site","stream","month","day","year","latitude","longitude","huc4","fish_sampled_length_m","prosper_ma","MJJA_HIST","BFICat","ICI_v2_1","wet_dry","wet_dry_01","wet_wetdry_dry","fish_presence","richness","evenness","abundance","abundance_per_m","bg_rel_abund","blbh_rel_abund","brmn_rel_abund","brsb_rel_abund","carp_rel_abund","ccat_rel_abund","cmsh_rel_abund","crch_rel_abund","fhch_rel_abund","fhmn_rel_abund","ge_rel_abund","gsh_rel_abund","gsun_rel_abund","iowa_rel_abund","jdt_rel_abund","lkch_rel_abund","ll_rel_abund","lmb_rel_abund","lndc_rel_abund","lnsu_rel_abund","np_rel_abund","odt_rel_abund","pkf_rel_abund","plsu_rel_abund","ptmn_rel_abund","pump_rel_abund","rcsu_rel_abund","rdsh_rel_abund","rkb_rel_abund","scat_rel_abund","sdsh_rel_abund","shrh_rel_abund","smb_rel_abund","smbuf_rel_abund","str_rel_abund","we_rel_abund","wsmn_rel_abund","wsplmn_rel_abund","wsu_rel_abund","ylbh_rel_abund","yp_rel_abund"
"11","83","East Fork Little Powder River",8,9,2022,45.35049,-105.25307,"1009",100,0.648915145,11.13413906,39.046,0.751281112252395,"Wet",1,"Wet",1,4,0.30758044,8,0.08,NA,NA,NA,NA,NA,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.125,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA
"12","45","Horse Ranch Creek",7,21,2022,43.183,-106.339,"1009",100,0.54226666,0.43483683,53,0.895780452914201,"Dry",0,"Dry",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","19","Indian Creek",7,18,2022,42.96036,-104.17644,"1012",100,0.627787872,4.15549517,60,0.857723901686579,"Wet",1,"Wet",1,3,0.11322153,147,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020408163,NA,NA,NA,NA,NA,NA,NA,NA,0.80952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.170068027,NA,NA
"14","85","Inyan Kara Creek",7,14,2022,44.44522,-104.72514,"1012",100,0.807193939,33.89693451,72.8189,0.707302214377647,"Wet",1,"Wet",1,6,0.16226576,42,0.42,NA,0.095238095,NA,NA,NA,NA,NA,0.547619048,NA,0.047619048,NA,NA,0.023809524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238095238,NA,NA,NA,NA,NA,0.047619048,NA,NA
"15","63","Lance Creek",7,19,2022,43.1396,-104.61629,"1012",100,0.749006055,21.29265213,48.307,0.853050982168074,"Wet",1,"Wet",1,5,0.27972073,80,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2625,NA,NA,NA,NA,NA,NA,NA,NA,0.1125,NA,NA,NA,0.075,NA,0.275,NA,NA,NA,NA,NA,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","76","Little Missouri River",8,3,2022,45.1298,-104.35327,"1011",100,0.698696982,109.71977234,47.7495,0.663144040436527,"Wet",1,"Wet",1,6,0.16498387,59,0.59,NA,NA,NA,NA,0.13559322,0.288135593,NA,NA,NA,NA,NA,NA,0.203389831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.271186441,0.016949153,NA,NA,NA,NA,NA,NA,0.084745763,NA,NA
"17","69","Mitzpah Creek",8,3,2022,46.221,-105.302,"1009",100,0.64931515,51.29396057,19.9963,0.616698174388319,"Dry",0,"WetDry",1,5,0.20538502,19,0.19,NA,NA,NA,NA,0.052631579,NA,NA,0.105263158,NA,0.263157895,NA,NA,0.052631579,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526315789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","44","Mule Creek",7,19,2022,43.362,-104.227,"1012",100,0.164612122,5.09503508,63.0861,0.876955959819942,"Dry",0,"Dry",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","64","North Fork Crazy Woman Creek",7,1,2022,44.08814,-106.67921,"1009",100,0.747509084,30.8505497,60.9287,0.908955554651127,"Wet",1,"Wet",1,6,0.11102505,132,1.32,NA,NA,NA,NA,NA,NA,NA,0.325581395,0.031007752,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023255814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.031007752,NA,0.007751938,NA,NA,NA,NA,NA,NA,0.581395349,NA,NA
"20","72","Otter Creek",7,26,2022,45.40295,-106.1424,"1009",100,0.77903031,30.31582642,53.8854,0.766545417240212,"Wet",1,"Wet",1,2,0.25058566,13,0.13,NA,NA,0.230769231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.769230769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","78","Ranch Creek",7,25,2022,45.057,-105.23856,"1009",100,0.524030303,3.39101958,50,0.852585925249755,"Wet",1,"Wet",1,1,NA,2,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","70","Rosebud Creek",7,11,2022,45.21595,-106.97495,"1010",100,0.764054551,2.99527669,62.8578,0.761753447804852,"Wet",1,"Wet",1,2,0.7773996,11,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.545454545,NA,NA,NA,NA,NA,NA,NA,NA,0.454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","39","SA Creek",8,8,2022,44.922,-105.903,"1009",100,0.498878789,4.45708323,49,0.834628382697151,"Dry",0,"Dry",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","10","Salt Creek",7,28,2022,43.426619,-106.29077,"1009",100,0.714181804,32.23791885,61.8658,0.802492969566347,"Wet",1,"Wet",1,3,0.35219873,35,0.35,NA,NA,0.485714286,NA,NA,NA,NA,NA,0.171428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.342857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","73","Sarpy Creek",7,11,2022,45.91778,-107.12907,"1010",100,0.724345455,13.81058216,53,0.809285939280296,"Wet",1,"Wet",1,4,0.30558924,78,0.78,NA,NA,NA,0.115384615,0.153846154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.384615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.346153846,NA,NA
"26","26","South Fork Powder River",7,28,2022,43.32822,-106.68095,"1009",100,0.618060602,31.70162582,63,0.785424829539571,"Wet",1,"Wet",1,4,0.10684044,80,0.8,NA,NA,NA,NA,NA,NA,NA,NA,0.0125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825,NA,NA,NA,NA,NA,NA,NA,0.1375,NA,NA,NA,NA,NA,NA,0.025,NA,NA,NA
"27","65","Spotted Horse Creek",8,8,2022,44.749,-105.894,"1009",100,0.574660608,3.8933568,50,0.820209635731139,"Dry",0,"Dry",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","77","Tie Creek",8,2,2022,45.53348,-104.13185,"1011",100,0.605387883,3.50111103,38,0.680591544187292,"Dry",0,"WetDry",1,3,0.13345133,173,1.73,NA,0.086705202,NA,NA,NA,NA,NA,NA,NA,0.855491329,NA,NA,0.057803468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","52","Unnamed 1",8,10,2022,43.44779,-106.27551,"1009",100,0.401393938,0.95533186,61.963,0.726568778777028,"Wet",1,"Wet",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","59","Unnamed 2",NA,NA,2022,43.483,-106.421,"1009",100,0.376945457,1.04208279,65,0.682676556260796,"Dry",0,"Dry",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","40","Unnamed 3",7,8,2022,44.094,-106.712,"1009",100,0.481296978,0.20363173,63.8506,0.584541566384265,"Dry",0,"Dry",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","49","Unnamed 4",7,8,2022,44.107,-106.71,"1009",100,0.359042419,0.10831632,63.6989,0.864629361551338,"Dry",0,"Dry",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","67","Wild Horse Creek",8,8,2022,44.516,-105.939,"1009",100,0.75720605,20.99816513,50,0.718123881448425,"Dry",0,"Dry",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","N1","Buffalo Creek",7,29,2022,43.53001,-106.87265,"1009",100,0.754072735,40.10441589,68,0.842605219885106,"Wet",1,"Wet",1,3,0.36908156,9,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.222222222,NA,0.555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.222222222,NA,NA
"35","N2","Crow Creek (MT)",8,9,2022,45.490586,-104.975586,"1009",100,0.551769696,9.13709831,28.1198,0.700067491980415,"Dry",0,"WetDry",1,8,0.14518259,104,1.04,NA,0.028846154,0.25,NA,0.480769231,NA,NA,NA,NA,0.048076923,NA,NA,0.009615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115384615,NA,NA,NA,NA,NA,NA,NA,0.038461538,NA,NA,NA,NA,NA,NA,NA,0.028846154,NA,NA
"36","N3","Lytle Creek",7,14,2022,44.575313,-104.658139,"1012",100,0.647587879,3.46228266,70,0.781594164538499,"Wet",1,"Wet",1,4,0.09923119,133,1.33,NA,NA,NA,NA,NA,NA,NA,0.503759398,NA,NA,NA,NA,0.007518797,NA,NA,NA,NA,NA,0.390977444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097744361,NA,NA
"37","N4","Muddy Creek",6,30,2022,44.153926,-106.725412,"1009",100,0.719242428,3.15366101,64.9167,0.710351457290624,"Wet",1,"Wet",1,3,0.11720646,39,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.871794872,NA,NA,NA,NA,0.102564103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025641026,NA,NA
"38","N5","Pumpkin Creek",8,3,2022,46.228184,-105.688572,"1009",100,0.663218198,47.20783615,19.3547,0.609008844075533,"Wet",1,"Wet",1,8,0.18185155,59,0.59,NA,NA,NA,NA,0.050847458,0.118644068,NA,NA,NA,0.152542373,NA,NA,0.305084746,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033898305,NA,NA,NA,0.050847458,NA,NA,0.016949153,0.271186441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","N6","Bear Creek",7,20,2022,47.30075504,-108.8405669,"1004",100,0.71852121,1.33398855,54,0.851770583273214,"Dry",0,"WetDry",1,2,0.19175911,6,0.06,NA,NA,NA,0.833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","N7","Sand Creek",8,26,2022,41.149564,-105.766135,"1018",100,0.59212728,20.97644234,55.0306,0.844038077135368,"Wet",1,"Wet",1,8,0.13365891,1119,11.19,NA,NA,0.090501792,NA,NA,NA,0.244623656,0.371863799,NA,0.129032258,NA,NA,NA,0.020609319,NA,NA,NA,NA,0.034050179,0.005376344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103942652,NA,NA
"41","N8","Pondera Coulee",7,18,2022,48.269271,-111.141801,"1003",100,0.76070909,19.86334419,48.0987,0.534990203386761,"Wet",1,"Wet",1,7,0.13166755,263,2.63,NA,NA,0.007604563,0.041825095,NA,NA,NA,NA,NA,0.558935361,NA,NA,NA,NA,NA,0.190114068,NA,NA,0.140684411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022813688,0.038022814,NA,NA
"42","CR1","Crow Creek",7,7,2023,41.06761,-104.3876,"1019",140,0.50494546,8.10610199,60.0154,0.377923034831417,"Wet",1,"Wet",1,4,0.16187702,100,0.714285714,NA,NA,NA,NA,NA,NA,NA,0.46,NA,0.41,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","CR2","Crow Creek",8,24,2023,41.09569,-104.43332,"1019",260,0.290800001,7.75050879,60.057,0.483876033139206,"Wet",1,"Wet",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","CR3","Crow Creek",8,28,2023,41.09919,-104.44306,"1019",260,0.274721214,7.75050879,60.057,0.483876033139206,"Wet",1,"Wet",1,4,0.08173123,185,0.711538462,NA,NA,NA,NA,NA,NA,NA,0.010810811,NA,0.675675676,NA,NA,0.005405405,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.308108108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","CR4","Crow Creek",7,27,2023,41.10257,-104.45925,"1019",260,0.493987874,7.75050879,60.057,0.483876033139206,"Wet",1,"Wet",1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","CR5","Crow Creek",7,26,2023,41.10612,-104.50518,"1019",260,0.550636363,7.75050879,60.057,0.483876033139206,"Wet",1,"Wet",1,5,0.10500464,152,0.584615385,NA,NA,NA,NA,0.006578947,NA,NA,0.309210526,NA,0.532894737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131578947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019736842,NA,NA
"47","CR6","Crow Creek",9,1,2023,41.12808,-104.67712,"1019",260,0.563315148,7.49933624,58.2202,0.734877828400666,"Wet",1,"Wet",1,4,0.18293101,149,0.573076923,NA,NA,NA,NA,NA,NA,NA,0.395973154,NA,0.308724832,NA,NA,NA,NA,NA,NA,NA,NA,0.248322148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046979866,NA,NA
"48","CR7","Crow Creek",8,29,2023,41.11905,-104.71432,"1019",260,0.506284841,7.29197121,58,0.696634078296191,"Wet",1,"Wet",1,4,0.09650345,494,1.9,NA,NA,NA,NA,NA,NA,NA,0.244939271,NA,0.710526316,NA,NA,NA,NA,NA,NA,NA,NA,0.038461538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006072874,NA,NA
"49","CR8","Crow Creek",7,5,2023,41.14814,-104.85906,"1019",260,0.798187879,6.72617388,58,0.503037950408055,"Wet",1,"Wet",1,8,0.13825907,495,1.903846154,NA,NA,NA,NA,NA,NA,0.103030303,0.212121212,NA,0.258585859,NA,NA,0.008080808,0.016161616,0.117171717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.096969697,NA,NA,NA,0.187878788,NA,NA
"50","CR8-1","Crow Creek",8,30,2023,41.14251,-104.85119,"1019",260,0.789545458,6.72617388,58,0.503037950408055,"Wet",1,"Wet",1,7,0.17647237,475,1.826923077,NA,NA,NA,NA,NA,NA,0.309473684,0.214736842,NA,0.141052632,NA,NA,NA,NA,0.233684211,NA,NA,NA,0.025263158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.031578947,NA,NA,NA,0.044210526,NA,NA
"51","CR9","Crow Creek",7,6,2023,41.1569,-104.8749,"1019",260,0.792533322,6.49862337,58,0.769548054812167,"Wet",1,"Wet",1,6,0.18346972,548,2.107692308,NA,NA,NA,NA,NA,NA,0.560218978,0.191605839,NA,0.054744526,NA,NA,NA,NA,0.078467153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.080291971,NA,NA,NA,0.034671533,NA,NA
"52","HW1","Hanging Woman Creek",8,2,2023,45.31999,-106.5171,"1009",260,0.734006065,37.69274139,55.2837,0.844323280138591,"Wet",1,"Wet",1,7,0.08535981,521,2.003846154,NA,NA,NA,NA,0.013435701,NA,NA,NA,NA,NA,NA,0.314779271,0.001919386,NA,NA,NA,NA,NA,NA,NA,0.001919386,NA,NA,NA,NA,0.341650672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017274472,NA,0.309021113
"53","HW2","Hanging Woman Creek",8,2,2023,45.29754,-106.50551,"1009",260,0.722666668,37.41112518,51.8868,0.822153785036194,"Wet",1,"Wet",1,4,0.27396649,11,0.042307692,NA,NA,NA,NA,0.181818182,NA,NA,NA,NA,0.363636364,NA,0.363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","HW3","Hanging Woman Creek",9,17,2023,45.25106,-106.48938,"1009",260,0.720751526,30.11097145,55.9271,0.813587512712323,"Wet",1,"Wet",1,5,0.1431834,187,0.719230769,NA,NA,0.026737968,NA,0.037433155,NA,NA,NA,NA,0.663101604,NA,NA,0.213903743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058823529,NA,NA
"55","HW5","Hanging Woman Creek",9,16,2023,45.15095,-106.47965,"1009",200,0.681909086,26.30033302,58,0.835744801257329,"Wet",1,"Wet",1,6,0.11714407,156,0.78,NA,0.006410256,0.416666667,NA,0.038461538,NA,NA,NA,NA,0.230769231,NA,NA,0.269230769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038461538,NA,NA
"56","HW6","Hanging Woman Creek",9,16,2023,45.14617,-106.4858,"1009",260,0.681581825,26.30033302,58,0.835744801257329,"Wet",1,"Wet",1,4,0.17724974,150,0.576923077,NA,NA,0.56,NA,0.04,NA,NA,NA,NA,0.26,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","HW7","Hanging Woman Creek",8,3,2023,44.99619,-106.41958,"1009",260,0.577321217,3.74658537,54.8061,0.830066204800494,"Wet",1,"Wet",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","HW8","Hanging Woman Creek",8,3,2023,44.95777,-106.3845,"1009",260,0.505199998,2.25754547,55.7904,0.840811869399634,"Dry",0,"WetDry",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
