"","site","stream","month","day","year","latitude","longitude","huc4","wet_dry","wet_wetdry_dry","prosper_ma","fish_sampled_length_m","fish_presence","richness","evenness","abundance","abundance_per_m","bg_rel_abund","blbh_rel_abund","brmn_rel_abund","brsb_rel_abund","carp_rel_abund","ccat_rel_abund","cmsh_rel_abund","crch_rel_abund","fhch_rel_abund","fhmn_rel_abund","ge_rel_abund","gsh_rel_abund","gsun_rel_abund","iowa_rel_abund","jdt_rel_abund","lkch_rel_abund","ll_rel_abund","lmb_rel_abund","lndc_rel_abund","lnsu_rel_abund","np_rel_abund","odt_rel_abund","pkf_rel_abund","plsu_rel_abund","ptmn_rel_abund","pump_rel_abund","rcsu_rel_abund","rdsh_rel_abund","rkb_rel_abund","scat_rel_abund","sdsh_rel_abund","shrh_rel_abund","smb_rel_abund","smbuf_rel_abund","str_rel_abund","we_rel_abund","wsmn_rel_abund","wsplmn_rel_abund","wsu_rel_abund","ylbh_rel_abund","yp_rel_abund","comid","habitat_sampled_length_m","mean_depth_m","max_depth_m","mean_width_m","depth_x_width_m2","discharge_m3_s","mean_velocity_m_s","percent_pool","percent_riffle","percent_run","wetted_area_m2","wetted_area_per100m","temp_c","conductivity","specific_cond","percent_do","do_mg_L","turbidity_cm","dom_substrate","MJJA_HIST","BFICat","ICI_v2_1","wet_dry_01"
"11","83","East Fork Little Powder River",8,9,2022,45.35049,-105.25307,"1009","Wet","Wet",0.648915145,100,1,4,0.30758044,8,0.08,NA,NA,NA,NA,NA,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.125,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,"9570255",100,0.42333333,0.87,1.3033333,0.55174444,0.05924,0.159285714,0,47.0204255,52.9795745,108.002,108.002,20.5,NA,1598,100.5,9,13.5,NA,11.13413906,39.046,0.751281112252395,1
"12","45","Horse Ranch Creek",7,21,2022,43.183,-106.339,"1009","Dry","Dry",0.54226666,100,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5366985",100,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.43483683,53,0.895780452914201,0
"13","19","Indian Creek",7,18,2022,42.96036,-104.17644,"1012","Wet","Wet",0.627787872,100,1,3,0.11322153,147,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020408163,NA,NA,NA,NA,NA,NA,NA,NA,0.80952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.170068027,NA,NA,"5440706",100,NA,NA,NA,NA,0.004655,0.038,NA,NA,NA,NA,NA,23.6,NA,501,95.3,NA,17.5,NA,4.15549517,60,0.857723901686579,1
"14","85","Inyan Kara Creek",7,14,2022,44.44522,-104.72514,"1012","Wet","Wet",0.807193939,100,1,6,0.16226576,42,0.42,NA,0.095238095,NA,NA,NA,NA,NA,0.547619048,NA,0.047619048,NA,NA,0.023809524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238095238,NA,NA,NA,NA,NA,0.047619048,NA,NA,"10904369",100,NA,NA,NA,NA,0.00189,0.005333333,47.4111012,8.3230625,44.2658363,229.615,229.615,27.3,NA,0.1,117.6,NA,93,NA,33.89693451,72.8189,0.707302214377647,1
"15","63","Lance Creek",7,19,2022,43.1396,-104.61629,"1012","Wet","Wet",0.749006055,100,1,5,0.27972073,80,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2625,NA,NA,NA,NA,NA,NA,NA,NA,0.1125,NA,NA,NA,0.075,NA,0.275,NA,NA,NA,NA,NA,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5423187",100,NA,NA,NA,NA,0.0038869,0.027333333,13.1448005,15.6497663,71.2054333,99.682,99.682,19.7,NA,2953,94.1,NA,43,NA,21.29265213,48.307,0.853050982168074,1
"16","76","Little Missouri River",8,3,2022,45.1298,-104.35327,"1011","Wet","Wet",0.698696982,100,1,6,0.16498387,59,0.59,NA,NA,NA,NA,0.13559322,0.288135593,NA,NA,NA,NA,NA,NA,0.203389831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.271186441,0.016949153,NA,NA,NA,NA,NA,NA,0.084745763,NA,NA,"9794588",100,0.40633333,0.76,11.2333333,4.56447778,0.006993,0.003333333,0,0,100,1257.491,1257.491,20.5,NA,1981,79.9,7.14,16,NA,109.71977234,47.7495,0.663144040436527,1
"17","69","Mitzpah Creek",8,3,2022,46.221,-105.302,"1009","Dry","WetDry",0.64931515,100,1,5,0.20538502,19,0.19,NA,NA,NA,NA,0.052631579,NA,NA,0.105263158,NA,0.263157895,NA,NA,0.052631579,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526315789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13221469",100,NA,NA,NA,NA,NA,NA,88.7813875,0,11.2186125,225.01,225.01,34,NA,3247,155.3,10.87,17.5,NA,51.29396057,19.9963,0.616698174388319,0
"18","44","Mule Creek",7,19,2022,43.362,-104.227,"1012","Dry","Dry",0.164612122,100,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9553669",100,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5.09503508,63.0861,0.876955959819942,0
"19","64","North Fork Crazy Woman Creek",7,1,2022,44.08814,-106.67921,"1009","Wet","Wet",0.747509084,100,1,6,0.11102505,132,1.32,NA,NA,NA,NA,NA,NA,NA,0.325581395,0.031007752,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023255814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.031007752,NA,0.007751938,NA,NA,NA,NA,NA,NA,0.581395349,NA,NA,"5372715",100,NA,NA,NA,NA,0.08142,0.074,NA,NA,NA,NA,NA,18.2,NA,1292,77.4,NA,36,NA,30.8505497,60.9287,0.908955554651127,1
"20","72","Otter Creek",7,26,2022,45.40295,-106.1424,"1009","Wet","Wet",0.77903031,100,1,2,0.25058566,13,0.13,NA,NA,0.230769231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.769230769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12756969",100,NA,NA,NA,NA,0.009982,0.006666667,0,0,100,604.345,604.345,23.2,NA,4145,90.1,NA,95,NA,30.31582642,53.8854,0.766545417240212,1
"21","78","Ranch Creek",7,25,2022,45.057,-105.23856,"1009","Wet","Wet",0.524030303,100,1,1,NA,2,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9570327",100,NA,NA,NA,NA,0.0046657,0.019333333,0,3.8604781,96.1395219,254.813,254.813,20.9,NA,0.1,76.7,NA,25,NA,3.39101958,50,0.852585925249755,1
"22","70","Rosebud Creek",7,11,2022,45.21595,-106.97495,"1010","Wet","Wet",0.764054551,100,1,2,0.7773996,11,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.545454545,NA,NA,NA,NA,NA,NA,NA,NA,0.454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13238919",100,NA,NA,NA,NA,0.00307,0.020666667,11.8726676,0.5665213,87.5608111,111.205,111.205,16.6,NA,8.6,40.5,NA,95,NA,2.99527669,62.8578,0.761753447804852,1
"23","39","SA Creek",8,8,2022,44.922,-105.903,"1009","Dry","Dry",0.498878789,100,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5390439",100,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4.45708323,49,0.834628382697151,0
"24","10","Salt Creek",7,28,2022,43.426619,-106.29077,"1009","Wet","Wet",0.714181804,100,1,3,0.35219873,35,0.35,NA,NA,0.485714286,NA,NA,NA,NA,NA,0.171428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.342857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5366525",100,NA,NA,NA,NA,0.0371142,0.014615385,NA,NA,NA,NA,NA,24.1,NA,4594,130,10.77,95,NA,32.23791885,61.8658,0.802492969566347,1
"25","73","Sarpy Creek",7,11,2022,45.91778,-107.12907,"1010","Wet","Wet",0.724345455,100,1,4,0.30558924,78,0.78,NA,NA,NA,0.115384615,0.153846154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.384615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.346153846,NA,NA,"13261735",100,NA,NA,NA,NA,0.000955,0.006,10.8026437,0.5320725,88.6652837,222.714,222.714,25.9,NA,6982,208.5,NA,95,NA,13.81058216,53,0.809285939280296,1
"26","26","South Fork Powder River",7,28,2022,43.32822,-106.68095,"1009","Wet","Wet",0.618060602,100,1,4,0.10684044,80,0.8,NA,NA,NA,NA,NA,NA,NA,NA,0.0125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825,NA,NA,NA,NA,NA,NA,NA,0.1375,NA,NA,NA,NA,NA,NA,0.025,NA,NA,NA,"5359192",100,0.07466667,0.19,2.715,0.20272,0.03179,0.260666667,1.7525026,27.1629978,71.0844996,252.439,252.439,24.9,NA,3561,100,8.18,90,NA,31.70162582,63,0.785424829539571,1
"27","65","Spotted Horse Creek",8,8,2022,44.749,-105.894,"1009","Dry","Dry",0.574660608,100,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9589054",100,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3.8933568,50,0.820209635731139,0
"28","77","Tie Creek",8,2,2022,45.53348,-104.13185,"1011","Dry","WetDry",0.605387883,100,1,3,0.13345133,173,1.73,NA,0.086705202,NA,NA,NA,NA,NA,NA,NA,0.855491329,NA,NA,0.057803468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9790354",100,NA,0.15,NA,NA,NA,NA,100,0,0,67.034,67.034,22.9,NA,1860,-0.4,-0.003,5,NA,3.50111103,38,0.680591544187292,0
"29","52","Unnamed 1",8,10,2022,43.44779,-106.27551,"1009","Wet","Wet",0.401393938,100,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5367177",100,0.13766667,0.72,0.9316667,0.12825944,0.004431,0.014,31.105177,10.8057924,58.0890305,104.481,104.481,20.9,NA,1969,85.2,7.56,12.5,NA,0.95533186,61.963,0.726568778777028,1
"30","59","Unnamed 2",NA,NA,2022,43.483,-106.421,"1009","Dry","Dry",0.376945457,100,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5366433",100,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1.04208279,65,0.682676556260796,0
"31","40","Unnamed 3",7,8,2022,44.094,-106.712,"1009","Dry","Dry",0.481296978,100,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5372689",100,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.20363173,63.8506,0.584541566384265,0
"32","49","Unnamed 4",7,8,2022,44.107,-106.71,"1009","Dry","Dry",0.359042419,100,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5372651",100,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.10831632,63.6989,0.864629361551338,0
"33","67","Wild Horse Creek",8,8,2022,44.516,-105.939,"1009","Dry","Dry",0.75720605,100,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9588924",100,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,20.99816513,50,0.718123881448425,0
"34","N1","Buffalo Creek",7,29,2022,43.53001,-106.87265,"1009","Wet","Wet",0.754072735,100,1,3,0.36908156,9,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.222222222,NA,0.555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.222222222,NA,NA,"5351901",100,0.251,1.02,3.01,0.75551,0.049176,0.149333333,11.997132,65.7887944,22.2140735,244.075,244.075,17.9,NA,535,101.9,9.65,95,NA,40.10441589,68,0.842605219885106,1
"35","N2","Crow Creek (MT)",8,9,2022,45.490586,-104.975586,"1009","Dry","WetDry",0.551769696,100,1,8,0.14518259,104,1.04,NA,0.028846154,0.25,NA,0.480769231,NA,NA,NA,NA,0.048076923,NA,NA,0.009615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115384615,NA,NA,NA,NA,NA,NA,NA,0.038461538,NA,NA,NA,NA,NA,NA,NA,0.028846154,NA,NA,"9830704",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,NA,4934,66,5.78,9,NA,9.13709831,28.1198,0.700067491980415,0
"36","N3","Lytle Creek",7,14,2022,44.575313,-104.658139,"1012","Wet","Wet",0.647587879,100,1,4,0.09923119,133,1.33,NA,NA,NA,NA,NA,NA,NA,0.503759398,NA,NA,NA,NA,0.007518797,NA,NA,NA,NA,NA,0.390977444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097744361,NA,NA,"10900583",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,NA,1143,98.9,NA,NA,NA,3.46228266,70,0.781594164538499,1
"37","N4","Muddy Creek",6,30,2022,44.153926,-106.725412,"1009","Wet","Wet",0.719242428,100,1,3,0.11720646,39,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.871794872,NA,NA,NA,NA,0.102564103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025641026,NA,NA,"940090030",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,1399,78.4,NA,95,NA,3.15366101,64.9167,0.710351457290624,1
"38","N5","Pumpkin Creek",8,3,2022,46.228184,-105.688572,"1009","Wet","Wet",0.663218198,100,1,8,0.18185155,59,0.59,NA,NA,NA,NA,0.050847458,0.118644068,NA,NA,NA,0.152542373,NA,NA,0.305084746,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033898305,NA,NA,NA,0.050847458,NA,NA,0.016949153,0.271186441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12753295",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8,NA,2387,93.2,7.82,19,NA,47.20783615,19.3547,0.609008844075533,1
"39","N6","Bear Creek",7,20,2022,47.30075504,-108.8405669,"1004","Dry","WetDry",0.71852121,100,1,2,0.19175911,6,0.06,NA,NA,NA,0.833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12729773",100,NA,NA,NA,NA,NA,NA,100,0,0,22.898,22.898,22.6,NA,7271,93.2,7.8,38,NA,1.33398855,54,0.851770583273214,0
"40","N7","Sand Creek",8,26,2022,41.149564,-105.766135,"1018","Wet","Wet",0.59212728,100,1,8,0.13365891,1119,11.19,NA,NA,0.090501792,NA,NA,NA,0.244623656,0.371863799,NA,0.129032258,NA,NA,NA,0.020609319,NA,NA,NA,NA,0.034050179,0.005376344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103942652,NA,NA,"17495439",100,NA,NA,NA,NA,NA,NA,22.7297923,0,77.2702077,414.94,414.94,NA,NA,NA,NA,NA,NA,NA,20.97644234,55.0306,0.844038077135368,1
"41","N8","Pondera Coulee",7,18,2022,48.269271,-111.141801,"1003","Wet","Wet",0.76070909,100,1,7,0.13166755,263,2.63,NA,NA,0.007604563,0.041825095,NA,NA,NA,NA,NA,0.558935361,NA,NA,NA,NA,NA,0.190114068,NA,NA,0.140684411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022813688,0.038022814,NA,NA,"12643057",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1,NA,2749,NA,NA,82.5,NA,19.86334419,48.0987,0.534990203386761,1
"42","CR1","Crow Creek",7,7,2023,41.06761,-104.3876,"1019","Wet","Wet",0.50494546,140,1,4,0.16187702,100,0.714285714,NA,NA,NA,NA,NA,NA,NA,0.46,NA,0.41,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2875573",140,0.4125,1.15,4.1125,1.69640625,0.0462923,0.164666667,NA,NA,NA,NA,NA,14.9,547,678,71.2,7.19,95,"Gravel, cobble, some larger rocks",8.10610199,60.0154,0.377923034831417,1
"43","CR2","Crow Creek",8,24,2023,41.09569,-104.43332,"1019","Wet","Wet",0.290800001,260,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2875835",260,0.19471429,0.57,5.5114286,1.07315388,0.0182213,0.046,0,18.0864387,81.9135613,1393.381,535.916,19.8,608,675,58.6,5.34,95,"Gravel, cobble, sand",7.75050879,60.057,0.483876033139206,1
"44","CR3","Crow Creek",8,28,2023,41.09919,-104.44306,"1019","Wet","Wet",0.274721214,260,1,4,0.08173123,185,0.711538462,NA,NA,NA,NA,NA,NA,NA,0.010810811,NA,0.675675676,NA,NA,0.005405405,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.308108108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2875835",260,0.22414286,1,7.1057143,1.86677265,0.2748463,0.196666667,0,44.0650516,55.9349484,1739.973,669.22,17,326.2,384.5,79.1,7.63,31,"Gravel, cobble",7.75050879,60.057,0.483876033139206,1
